Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Aaron Rodgers,GB,QB,16,4434,30,7,316,5,0,0,0,0,0,0,0,21.4,342.96
2,Chris Johnson,TEN,RB,16,0,0,0,2006,14,50,503,2,0,0,0,0,21.4,342.9
3,Drew Brees,NO,QB,15,4388,34,11,33,2,1,-4,0,0,0,0,0,19.5,292.42
4,Brett Favre,MIN,QB,16,4202,33,7,7,0,1,-2,0,0,0,0,0,17.7,282.58
5,Matt Schaub,HOU,QB,16,4770,29,15,57,0,0,0,0,0,0,0,0,17.5,280.5
6,Peyton Manning,IND,QB,16,4500,33,16,-13,0,0,0,0,0,0,0,0,17.4,278.7
7,Adrian Peterson,MIN,RB,16,0,0,0,1383,18,43,436,0,0,0,0,0,17.4,277.9
8,Tony Romo,DAL,QB,16,4483,26,9,105,1,0,0,0,0,0,0,0,17.1,273.82
9,Maurice Jones-Drew,JAX,RB,16,0,0,0,1391,15,53,374,1,0,0,0,0,16.9,270.5
10,Tom Brady,NE,QB,16,4398,28,13,44,1,0,0,0,0,0,0,0,16.9,270.32
11,Philip Rivers,LAC,QB,16,4254,28,9,50,1,0,0,0,0,0,0,0,16.8,269.16
12,Ben Roethlisberger,PIT,QB,15,4328,26,12,82,2,0,0,0,0,0,0,0,17.8,267.32
13,Ray Rice,BAL,RB,16,0,0,0,1339,7,78,702,1,0,0,0,0,15.4,246.1
14,Donovan McNabb,PHI,QB,14,3553,22,10,140,2,1,1,0,0,0,0,0,16.7,234.22
15,Eli Manning,NYG,QB,16,4021,27,14,65,0,0,0,0,0,0,0,0,14.5,231.34
16,Thomas Jones,NYJ,RB,16,0,0,0,1402,14,10,58,0,0,0,0,0,14.4,230
17,Jay Cutler,CHI,QB,16,3666,27,26,173,1,0,0,0,0,0,0,0,14.2,227.94
18,Frank Gore,SF,RB,14,0,0,0,1120,10,52,406,3,0,0,0,0,16.2,226.6
