Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Priest Holmes,KC,RB,16,0,0,0,1420,27,74,690,0,0,0,0,0,23.2,371
2,LaDainian Tomlinson,LAC,RB,16,21,1,0,1645,13,100,725,4,0,0,0,0,21.5,343.84
3,Ahman Green,GB,RB,16,0,0,0,1883,15,50,367,5,0,0,0,0,20.9,335
4,Jamal Lewis,BAL,RB,16,0,0,0,2066,14,26,205,0,0,0,0,0,18.7,299.1
5,Clinton Portis,DEN,RB,13,0,0,0,1591,14,38,314,0,0,0,0,0,21.1,274.5
6,Daunte Culpepper,MIN,QB,14,3479,25,11,422,4,0,0,0,0,0,0,0,19.5,273.36
7,Peyton Manning,IND,QB,16,4267,29,10,26,0,1,-2,0,0,0,0,0,16.8,269.08
8,Randy Moss,MIN,WR,16,0,0,0,18,0,111,1632,17,0,0,0,0,16.6,265
9,Shaun Alexander,SEA,RB,16,0,0,0,1435,14,42,295,2,0,0,0,0,16.4,263
10,Deuce McAllister,NO,RB,16,0,0,0,1641,8,69,516,0,0,0,1,0,16,255.7
11,Trent Green,KC,QB,16,4039,24,12,83,2,0,0,0,0,0,0,0,15.7,251.86
12,Matt Hasselbeck,SEA,QB,16,3841,26,15,125,2,0,0,0,0,0,0,0,15.6,250.14
13,Torry Holt,LAR,WR,16,0,0,0,5,0,117,1696,12,0,0,0,0,15.1,242.1
14,Steve McNair,TEN,QB,14,3215,24,7,138,4,1,4,0,0,0,0,0,17.2,240.8
15,Aaron Brooks,NO,QB,16,3546,24,8,175,2,0,0,0,0,0,0,0,14.3,229.34
16,Fred Taylor,JAX,RB,16,0,0,0,1572,6,48,370,1,0,0,0,0,14.3,228.2
17,New England Patriots,NE,DST,16,0,0,0,0,0,0,0,0,41,29,19,12,14.1,225
18,Jeff Garcia,SF,QB,13,2704,18,13,319,7,1,6,0,0,0,0,0,17.3,224.66
19,Ricky Williams,MIA,RB,16,0,0,0,1372,9,50,351,1,0,0,0,0,13.9,222.3
20,Brett Favre,GB,QB,16,3361,32,21,15,0,0,0,0,0,0,0,0,13.9,221.94
21,Jon Kitna,CIN,QB,16,3591,26,15,113,0,0,0,0,0,0,0,0,13.8,220.94
22,Donovan McNabb,PHI,QB,16,3216,16,11,355,3,1,-7,0,0,0,0,0,13.6,217.44
23,Marc Bulger,LAR,QB,15,3845,22,22,75,4,0,0,0,0,0,0,0,14.5,217.3
24,Brad Johnson,TB,QB,16,3811,26,21,33,0,0,-2,0,0,0,0,0,13.5,215.54
25,Edgerrin James,IND,RB,13,0,0,0,1259,11,51,292,0,0,0,0,0,16.5,215.1
25,Tom Brady,NE,QB,16,3620,23,12,63,1,0,0,0,0,0,0,0,13.4,215.1
27,Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,47,24,23,17,13.1,210
28,Travis Henry,BUF,RB,15,0,0,1,1356,10,28,158,1,0,0,0,0,14,209.4
29,Stephen Davis,CAR,RB,14,0,0,0,1444,8,14,159,0,0,0,0,0,14.4,202.3
