Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Ben Roethlisberger,PIT,QB,4,803,7,3,37,2,0,0,0,0,0,0,0,17.5,69.82
2,Steve Smith,CAR,WR,3,0,0,0,38,1,27,335,3,0,0,0,0,19.8,59.3
3,Matt Hasselbeck,SEA,QB,3,707,4,1,83,1,0,0,0,0,0,0,0,18.9,56.58
4,Hines Ward,PIT,WR,4,0,0,0,22,0,15,260,3,0,0,0,0,11.6,46.2
5,Willie Parker,PIT,RB,4,0,0,0,225,1,10,81,1,0,0,0,0,10.6,42.6
6,Jake Delhomme,CAR,QB,3,655,5,4,24,0,0,0,0,0,0,0,0,13.5,40.6
7,D Jackson,SEA,WR,3,0,0,0,0,0,20,268,2,0,0,0,0,12.9,38.8
8,Pittsburgh Steelers,PIT,DST,4,0,0,0,0,0,0,0,0,15,5,2,2,9,36
9,Tom Brady,NE,QB,2,542,4,2,8,0,0,0,0,0,0,0,0,17.2,34.48
10,Jerome Bettis,PIT,RB,4,0,0,0,180,3,0,0,0,0,0,0,0,8.5,34
10,Carolina Panthers,CAR,DST,3,0,0,0,0,0,0,0,0,7,4,1,2,11.3,34
12,Shaun Alexander,SEA,RB,3,0,0,0,236,2,3,2,0,0,0,0,0,11.3,33.8
13,C Wilson,PIT,WR,4,0,0,0,0,0,9,216,2,0,0,0,0,8.4,33.6
14,James Farrior,PIT,LB,4,0,0,0,0,0,0,0,0,2.5,1,0,0,8.2,32.7
15,M Anderson,DEN,TE,2,0,0,0,105,3,4,25,0,0,0,0,0,15.5,31
16,Ike Taylor,PIT,CB,4,0,0,0,0,0,0,0,0,0,2,0,0,7.4,29.5
17,New England Patriots,NE,DST,2,0,0,0,0,0,0,0,0,8,2,2,1,13.5,27
18,Troy Polamalu,PIT,SS,4,0,0,0,0,0,0,0,0,0.5,1,0,0,6.7,26.7
19,W McGinest,NE,LB,2,0,0,0,0,0,0,0,0,4.5,0,0,0,12.8,25.6
20,Larry Foote,PIT,ILB,4,0,0,0,0,0,0,0,0,0.5,1,0,0,6.4,25.4
21,Asante Samuel,NE,CB,2,0,0,0,0,0,0,0,0,0,2,0,0,12.5,25
22,M Washington,WAS,LB,2,0,0,0,0,0,0,0,0,0,1,1,1,12.2,24.5
22,Lofa Tatupu,SEA,LB,3,0,0,0,0,0,0,0,0,0,1,0,0,8.2,24.5
24,Antwaan Randle El,PIT,WR,4,43,1,0,5,0,12,119,1,0,0,0,0,6,24.12
25,John Kasay,CAR,K,3,0,0,0,0,0,0,0,0,0,0,0,0,8,24
25,Will Witherspoon,CAR,OLB,3,0,0,0,0,0,0,0,0,1,0,1,0,8,24
25,Seattle Seahawks,SEA,DST,3,0,0,0,0,0,0,0,0,5,5,2,2,8,24
28,Jeff Reed,PIT,K,4,0,0,0,0,0,0,0,0,0,0,0,0,5.8,23
29,Jerramy Stevens,SEA,TE,3,0,0,0,0,0,11,104,2,0,0,0,0,7.5,22.4
30,Josh Brown,SEA,K,3,0,0,0,0,0,0,0,0,0,0,0,0,7.3,22
30,K Lucas,CAR,CB,3,0,0,0,0,0,0,0,0,0,2,0,0,7.3,22
32,Rod Smith,DEN,WR,2,0,0,0,0,0,10,157,1,0,0,0,0,10.8,21.7
33,M McCree,CAR,SS,3,0,0,0,0,0,0,0,0,0,2,0,0,7.2,21.5
34,DeShaun Foster,CAR,RB,2,0,0,0,205,0,2,7,0,0,0,0,0,10.6,21.2
35,Clark Haggans,PIT,LB,4,0,0,0,0,0,0,0,0,1.5,0,0,0,5.2,20.8
36,Joey Porter,PIT,LB,4,0,0,0,0,0,0,0,0,3,0,1,0,5,20.2
37,Leroy Hill,SEA,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,6.7,20
37,Deshea Townsend,PIT,DB,4,0,0,0,0,0,0,0,0,1,0,0,0,5,20
37,Washington Football Team,WAS,DST,2,0,0,0,0,0,0,0,0,3,2,4,4,10,20
40,M Boulware,SEA,SS,3,0,0,0,0,0,0,0,0,0,2,0,0,6.5,19.5
41,Santana Moss,WAS,WR,2,0,0,0,12,0,9,121,1,0,0,0,0,9.6,19.3
42,D Carter,CAR,WR,3,0,0,0,0,0,4,131,1,0,0,0,0,6.4,19.1
43,Deion Branch,NE,WR,2,0,0,0,0,0,10,189,0,0,0,0,0,9.4,18.9
44,Jake Plummer,DEN,QB,2,420,2,3,38,0,0,0,0,0,0,0,0,9.3,18.6
45,Tyrone Carter,PIT,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,4.6,18.5
46,L Arrington,WAS,LB,2,0,0,0,0,0,0,0,0,0,1,1,0,9,18
46,S Taylor,WAS,S,2,0,0,0,0,1,0,0,0,0,0,0,0,9,18
48,A Lelie,DEN,WR,2,0,0,0,0,0,7,118,1,0,0,0,0,8.9,17.8
49,D Givens,NE,WR,2,0,0,0,0,0,6,57,2,0,0,0,0,8.8,17.7
50,Peyton Manning,IND,QB,1,290,1,0,0,0,0,0,0,0,0,0,0,17.6,17.6
51,Domonique Foxworth,DEN,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,8.8,17.5
51,A Wilson,DEN,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,8.8,17.5
53,Heath Miller,PIT,TE,4,0,0,0,0,0,7,107,1,0,0,0,0,4.2,16.7
54,L Marshall,WAS,LB,2,0,0,0,0,0,0,0,0,0,0,0,1,8.2,16.5
55,Marcus Trufant,SEA,CB,3,0,0,0,0,0,0,0,0,0,0,0,1,5.3,16
55,Clinton Portis,WAS,RB,2,0,0,0,94,1,3,6,0,0,0,0,0,8,16
57,Nick Ferguson,DEN,FS,2,0,0,0,0,0,0,0,0,0,0,1,0,7.8,15.5
57,B Short,CAR,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,5.2,15.5
