Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Daunte Culpepper,MIN,QB,16,4717,39,11,406,2,0,0,0,0,0,0,0,23.3,373.28
2,Peyton Manning,IND,QB,16,4557,49,10,38,0,0,0,0,0,0,0,0,22.5,360.08
3,Shaun Alexander,SEA,RB,16,0,0,0,1696,16,23,170,4,0,0,0,0,18.8,300.6
4,Tiki Barber,NYG,RB,16,0,0,0,1518,13,52,578,2,0,0,0,0,18.5,295.6
5,Donovan McNabb,PHI,QB,15,3875,31,8,220,3,0,0,0,0,0,0,0,19.4,291
6,LaDainian Tomlinson,LAC,RB,15,38,0,0,1335,17,53,441,1,0,0,0,0,18.9,283.12
7,Curtis Martin,NYJ,RB,16,0,0,0,1697,12,41,245,2,0,0,0,0,17.4,278.2
8,Trent Green,KC,QB,16,4591,27,17,85,0,0,0,0,0,0,0,0,16.3,260.14
9,Jake Plummer,DEN,QB,16,4089,27,20,202,1,0,0,0,0,0,0,0,16,255.76
10,Brett Favre,GB,QB,16,4088,30,17,36,0,0,0,0,0,0,0,0,15.9,255.12
11,Edgerrin James,IND,RB,16,0,0,0,1548,9,51,483,0,0,0,0,0,15.9,255.1
12,Domanick Davis,HOU,RB,15,0,0,0,1188,13,68,588,1,0,0,0,0,16.9,253.6
13,Jake Delhomme,CAR,QB,16,3886,29,15,71,1,0,0,0,0,0,0,0,15.5,248.54
14,Corey Dillon,NE,RB,15,0,0,0,1635,12,15,103,1,0,0,0,0,16.4,245.8
15,Aaron Brooks,NO,QB,16,3810,21,16,173,4,1,1,0,0,0,0,0,15.2,243.8
16,Drew Brees,LAC,QB,15,3159,27,7,85,2,1,38,0,0,0,0,0,16,240.66
17,Muhsin Muhammad,CAR,WR,16,0,0,0,15,0,93,1405,16,0,0,0,0,14.8,236
18,Marc Bulger,LAR,QB,14,3964,21,14,89,3,0,0,0,0,0,0,0,16.8,235.46
19,Tom Brady,NE,QB,16,3692,28,14,28,0,0,0,0,0,0,0,0,14,224.48
