Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Drew Brees,NO,QB,16,5177,43,19,5,1,0,0,0,0,0,0,0,21.6,345.58
2,Aaron Rodgers,GB,QB,16,4295,39,8,259,2,1,-1,0,0,0,0,0,21.5,343.6
3,Tom Brady,NE,QB,16,4827,34,8,32,4,0,0,0,0,0,0,0,21.3,340.28
4,Cam Newton,CAR,QB,16,3869,19,12,741,8,0,6,0,0,0,0,0,20.2,323.46
5,Robert Griffin III,WAS,QB,15,3200,20,5,815,7,0,0,0,0,0,0,0,21.2,317.5
6,Peyton Manning,DEN,QB,16,4659,37,11,6,0,0,0,0,0,0,0,0,19.4,310.96
7,Adrian Peterson,MIN,RB,16,0,0,0,2097,12,40,217,1,0,0,0,0,19.2,307.4
8,Matt Ryan,ATL,QB,16,4719,32,14,141,1,0,0,0,0,0,0,0,19.1,304.86
9,Tony Romo,DAL,QB,16,4903,28,19,49,1,1,-1,0,0,0,0,0,17.4,278.92
10,Andrew Luck,IND,QB,16,4374,23,18,255,5,0,0,0,0,0,0,0,17.3,276.46
11,Russell Wilson,SEA,QB,16,3118,26,10,489,4,0,0,0,0,0,0,0,17.2,275.62
12,Matthew Stafford,DET,QB,16,4967,20,17,126,4,1,3,0,0,0,0,0,17.2,275.58
13,Doug Martin,TB,RB,16,0,0,0,1454,11,49,472,1,0,0,0,0,16.4,262.6
14,Arian Foster,HOU,RB,16,0,0,0,1424,15,40,217,2,0,0,0,0,16.4,262.1
15,Andy Dalton,CIN,QB,16,3669,27,16,120,4,0,0,0,0,0,0,0,15.7,250.76
16,Josh Freeman,TB,QB,16,4065,27,17,139,0,0,0,0,0,0,0,0,15.5,248.5
17,Marshawn Lynch,SEA,RB,16,0,0,0,1590,11,23,196,1,0,0,0,0,15.4,246.6
18,J.J. Watt,HOU,DE,16,0,0,0,0,0,0,0,0,20.5,0,4,2,15.3,244.9
19,Alfred Morris,WAS,RB,16,0,0,0,1613,13,11,77,0,0,0,0,0,15.1,241
20,Joe Flacco,BAL,QB,16,3817,22,10,22,3,0,0,0,0,0,0,0,14.7,234.88
21,Eli Manning,NYG,QB,16,3948,26,15,30,0,0,0,0,0,0,0,0,14.6,232.92
22,Sam Bradford,LAR,QB,16,3702,21,13,127,1,0,0,0,0,0,0,0,14.4,230.78
