Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,LaDainian Tomlinson,LAC,RB,16,20,2,0,1815,28,56,508,3,0,0,0,0,26.6,425.1
2,Larry Johnson,KC,RB,16,0,0,0,1789,17,41,410,2,0,0,0,0,20.6,329.9
3,Steven Jackson,LAR,RB,16,0,0,0,1528,13,90,806,3,0,0,0,0,20.3,325.4
4,Peyton Manning,IND,QB,16,4397,31,9,36,4,0,0,0,0,0,0,0,19.3,309.48
5,Michael Vick,ATL,QB,16,2474,20,13,1039,2,1,1,0,0,0,0,1,16.4,262.96
6,Frank Gore,SF,RB,16,0,0,0,1695,8,61,485,1,0,0,0,0,16.4,262
7,Drew Brees,NO,QB,16,4418,26,11,32,0,0,0,0,0,0,0,0,16.2,259.92
8,Willie Parker,PIT,RB,16,0,0,0,1494,13,31,222,3,0,0,0,0,16.1,257.6
9,Brian Westbrook,PHI,RB,15,0,0,0,1217,7,77,699,4,0,0,0,0,16.9,253.6
10,Marc Bulger,LAR,QB,16,4301,24,8,44,0,0,0,0,0,0,0,0,15.8,252.44
11,Tiki Barber,NYG,RB,16,0,0,0,1662,5,58,465,0,0,0,0,0,15,240.7
12,Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,60,28,13,12,14.9,238
13,Carson Palmer,CIN,QB,16,4035,28,13,37,0,0,0,0,0,0,0,0,14.8,237.1
14,Chicago Bears,CHI,DST,16,0,0,0,0,0,0,0,0,40,24,27,20,14.6,233
15,Maurice Jones-Drew,JAX,RB,16,0,0,0,941,13,46,436,2,0,0,0,0,14.1,225.7
16,Tom Brady,NE,QB,16,3529,24,12,102,0,0,0,0,0,0,0,0,13.7,219.36
17,Jon Kitna,DET,QB,16,4208,21,22,156,2,0,0,0,0,0,0,0,13.6,217.92
18,Rudi Johnson,CIN,RB,16,0,0,0,1309,12,23,124,0,0,0,0,0,13.2,211.3
19,Philip Rivers,LAC,QB,16,3388,22,9,49,0,0,0,0,0,0,0,0,13,208.42
20,Marvin Harrison,IND,WR,16,0,0,0,0,0,95,1366,12,0,0,0,0,12.9,206.6
21,Vince Young,TEN,QB,15,2199,12,13,552,7,0,0,0,0,0,0,0,13.5,203.16
22,Donovan McNabb,PHI,QB,10,2647,18,6,212,3,0,0,0,0,0,0,0,20.1,201.08
23,Terrell Owens,DAL,WR,16,0,0,0,0,0,85,1180,13,0,0,0,0,12.4,198
24,Brett Favre,GB,QB,16,3885,18,18,29,1,0,0,0,0,0,0,0,11.9,190.3
25,Deuce McAllister,NO,RB,15,0,0,0,1057,11,30,198,0,0,0,0,0,12.6,189.5
26,Eli Manning,NYG,QB,16,3244,24,18,21,0,0,0,0,0,0,0,0,11.7,187.86
27,Reggie Wayne,IND,WR,16,0,0,0,0,0,86,1310,9,0,0,0,0,11.7,187
28,Joseph Addai,IND,RB,16,0,0,0,1081,7,40,325,1,0,0,0,0,11.5,184.6
29,Ben Roethlisberger,PIT,QB,15,3513,18,23,98,2,0,0,0,0,0,0,0,12.3,184.32
30,Ladell Betts,WAS,RB,16,0,0,0,1154,4,53,445,1,0,0,0,0,11.5,183.9
31,Marion Barber,DAL,RB,16,0,0,0,654,14,23,196,2,0,0,0,0,11.3,181
32,Chester Taylor,MIN,RB,15,0,0,0,1216,6,42,288,0,0,0,0,0,12,180.4
33,Chad Johnson,CIN,WR,16,0,0,0,24,0,87,1369,7,0,0,0,0,11.2,179.3
34,Donald Driver,GB,WR,16,0,0,0,16,0,92,1295,8,0,0,0,0,11.2,179.1
35,Steve McNair,BAL,QB,16,3050,16,12,119,1,0,0,0,0,0,0,0,11.1,177.9
