Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Drew Brees,NO,QB,16,5069,34,17,-1,0,0,0,0,0,0,0,0,18.9,302.66
2,Aaron Rodgers,GB,QB,16,4038,28,13,207,4,0,0,0,0,0,0,0,18.1,290.22
3,DeAngelo Williams,CAR,RB,16,0,0,0,1515,18,22,121,2,0,0,0,0,17.8,285.6
4,Philip Rivers,LAC,QB,16,4009,34,11,84,0,0,0,0,0,0,0,0,17.4,278.76
5,Jay Cutler,DEN,QB,16,4526,25,18,200,2,0,0,0,0,0,0,0,17.3,277.04
6,Michael Turner,ATL,RB,16,0,0,0,1699,17,6,41,0,0,0,0,0,17,272
7,Kurt Warner,ARI,QB,16,4583,30,14,-2,0,0,0,0,0,0,0,0,16.3,261.12
8,Peyton Manning,IND,QB,16,4002,27,12,21,1,0,0,0,0,0,0,0,15.9,254.18
9,Matt Cassel,NE,QB,16,3693,21,11,270,2,0,0,0,0,0,0,0,15.3,244.72
10,Donovan McNabb,PHI,QB,16,3916,23,11,147,2,0,0,0,0,0,0,0,15.2,243.34
11,Matt Forte,CHI,RB,16,0,0,0,1238,8,63,477,4,0,0,0,0,15.1,241.5
12,Adrian Peterson,MIN,RB,16,0,0,0,1760,10,21,125,0,0,0,0,0,15,240.5
13,Thomas Jones,NYJ,RB,16,0,0,0,1312,13,36,207,2,0,0,0,0,15,239.9
14,LaDainian Tomlinson,LAC,RB,16,0,0,0,1110,11,52,426,1,0,0,0,0,14.1,225.6
15,Steve Slaton,HOU,RB,16,0,0,0,1282,9,50,377,1,0,0,0,0,13.9,221.9
16,Maurice Jones-Drew,JAX,RB,16,0,0,0,824,12,62,565,2,0,0,0,0,13.7,218.9
17,Clinton Portis,WAS,RB,16,0,0,0,1487,9,28,218,0,0,0,1,0,13.7,218.5
18,Chad Pennington,MIA,QB,16,3653,19,7,62,1,0,0,0,0,0,0,0,13.6,218.32
19,Tyler Thigpen,KC,RB,14,2608,18,12,386,3,1,37,1,0,0,0,0,15.5,216.62
20,David Garrard,JAX,QB,16,3620,15,13,322,2,1,-6,0,0,0,0,0,13.5,216.4
21,Brian Westbrook,PHI,RB,14,0,0,0,936,9,54,402,5,0,0,0,0,15.4,215.8
22,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,96,1431,12,0,0,0,0,13.4,215.1
23,Demarcus Ware,DAL,OLB,16,0,0,0,0,0,0,0,0,20,0,6,1,13,207.8
24,Chris Johnson,TEN,RB,15,0,0,0,1228,9,43,260,1,0,0,0,0,13.8,206.8
25,Andre Johnson,HOU,WR,16,0,0,0,0,0,115,1575,8,0,0,0,0,12.8,205.5
26,Tony Romo,DAL,QB,13,3448,26,14,41,0,0,0,0,0,0,0,0,15.7,204.02
27,Calvin Johnson,DET,WR,16,0,0,0,-1,0,78,1331,12,0,0,0,0,12.7,203
28,Brandon Jacobs,NYG,RB,13,0,0,0,1089,15,6,36,0,0,0,0,0,15.4,200.5
29,Jason Campbell,WAS,QB,16,3245,13,6,258,1,0,0,0,0,0,0,0,12.5,199.6
30,Eli Manning,NYG,QB,16,3238,21,10,10,1,0,0,0,0,0,0,0,12.4,198.52
31,Matt Ryan,ATL,QB,16,3440,16,11,104,1,0,0,0,0,0,0,0,12.2,196
32,Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,34,26,13,8,12.1,194
33,Brett Favre,NYJ,QB,16,3472,22,22,43,1,0,2,0,0,0,0,0,12,191.38
34,Marshawn Lynch,BUF,RB,15,0,0,0,1036,8,47,300,1,0,0,0,0,12.4,185.6
35,Greg Jennings,GB,WR,16,0,0,0,0,0,80,1292,9,0,0,0,0,11.6,185.2
36,James Harrison,PIT,LB,15,0,0,0,0,0,0,0,0,16,1,7,0,12.3,185
36,Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,51,20,12,9,11.6,185
38,Frank Gore,SF,RB,14,0,0,0,1036,6,43,373,2,0,0,0,0,13.2,184.9
39,Steven Jackson,LAR,RB,12,0,0,0,1042,7,40,379,1,0,0,0,0,15.3,184.1
40,Philadelphia Eagles,PHI,DST,16,0,0,0,0,0,0,0,0,48,15,21,14,11.5,184
41,Joe Flacco,BAL,QB,16,2971,14,12,180,2,1,43,0,0,0,0,0,11.4,183.14
42,Kyle Orton,CHI,QB,15,2972,18,12,49,3,0,0,0,0,0,0,0,12.1,181.78
43,Ronnie Brown,MIA,RB,16,41,1,0,916,10,33,254,0,0,0,0,0,11.3,180.64
44,Steve Smith,CAR,WR,14,0,0,0,40,0,78,1421,6,0,0,0,0,12.9,180.1
45,Roddy White,ATL,WR,16,0,0,0,4,0,88,1382,7,0,0,0,0,11.2,178.6
46,Marion Barber,DAL,RB,15,0,0,0,885,7,52,417,2,0,0,0,0,11.9,178.2
47,Ben Roethlisberger,PIT,QB,16,3301,17,15,101,2,1,-7,0,0,0,0,0,11.1,177.44
48,Jake Delhomme,CAR,QB,16,3288,15,12,21,2,0,0,0,0,0,0,0,11,175.62
49,Matt Schaub,HOU,QB,11,3043,15,10,68,2,0,0,0,0,0,0,0,15.9,174.52
50,Kevin Smith,DET,RB,16,0,0,0,976,8,39,286,0,0,0,0,0,10.8,172.2
51,Anquan Boldin,ARI,WR,12,0,0,0,67,0,89,1038,11,0,0,0,0,14.2,170.5
52,Antonio Bryant,TB,WR,16,0,0,0,22,0,83,1248,7,0,0,0,0,10.4,167
53,LenDale White,TEN,RB,16,0,0,0,773,15,5,16,0,0,0,0,0,10.4,166.9
54,LeRon McClain,BAL,RB,16,0,0,0,902,10,19,123,1,0,0,0,0,10.4,166.5
54,Terrell Owens,DAL,WR,16,0,0,0,33,0,69,1052,10,0,0,0,0,10.4,166.5
56,Bradie James,DAL,LB,16,0,0,0,0,0,0,0,0,8,0,3,2,10.4,166
56,Tennessee Titans,TEN,DST,16,0,0,0,0,0,0,0,0,44,20,23,11,10.4,166
58,Tony Gonzalez,KC,TE,16,0,0,0,0,0,96,1058,10,0,0,0,0,10.4,165.8
59,Patrick Willis,SF,ILB,16,0,0,0,0,0,0,0,0,1,1,1,1,10.2,163.5
60,Jeff Garcia,TB,QB,12,2712,12,6,148,1,0,0,0,0,0,0,0,13.6,163.28
61,Randy Moss,NE,WR,16,0,0,0,0,0,69,1008,11,0,0,0,0,10.2,162.8
62,Ray Lewis,BAL,LB,16,0,0,0,0,0,0,0,0,3.5,3,2,2,10.2,162.7
63,Pierre Thomas,NO,RB,15,0,0,0,625,9,31,284,3,0,0,0,0,10.7,160.9
64,Karlos Dansby,ARI,ILB,16,0,0,0,0,0,0,0,0,4,2,2,3,9.9,157.9
65,Vincent Jackson,LAC,WR,16,0,0,0,69,0,59,1098,7,0,0,0,0,9.8,156.7
66,Brandon Marshall,DEN,WR,15,0,0,0,-4,0,104,1265,6,0,0,0,0,10.4,156.1
67,Ryan Grant,GB,RB,16,0,0,0,1203,4,18,116,1,0,0,0,0,9.7,155.9
68,New York Jets,NYJ,DST,16,0,0,0,0,0,0,0,0,41,14,29,16,9.7,155
69,Trent Edwards,BUF,QB,14,2699,11,10,117,3,0,0,0,0,0,0,0,11,153.66
70,Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,29,22,12,8,9.6,153
71,Derrick Ward,NYG,RB,16,0,0,0,1025,2,41,384,0,0,0,0,0,9.6,152.9
72,Reggie Wayne,IND,WR,16,0,0,0,0,0,82,1145,6,0,0,0,0,9.5,152.5
72,Barrett Ruud,TB,LB,16,0,0,0,0,0,0,0,0,3,2,0,1,9.5,152.5
74,D'Qwell Jackson,CLE,ILB,16,0,0,0,0,0,0,0,0,2,3,0,0,9.5,151.6
75,Terrell Suggs,BAL,DE,16,0,0,0,0,0,0,0,0,8,2,2,0,9.5,151.4
76,Lance Moore,NO,WR,16,0,0,1,0,0,79,928,10,0,0,0,0,9.4,150.8
76,Jared Allen,MIN,OLB,16,0,0,0,0,0,0,0,0,14.5,0,3,0,9.4,150.8
78,Jonathan Vilma,NO,OLB,16,0,0,0,0,0,0,0,0,1,1,2,3,9.4,150.5
79,Antoine Winfield,MIN,CB,16,0,0,0,0,0,0,0,0,2,2,4,2,9.3,149.5
80,Justin Tuck,NYG,DE,16,0,0,0,0,0,0,0,0,12,1,3,0,9.3,148.5
81,Jon Beason,CAR,ILB,16,0,0,0,0,0,0,0,0,0,3,0,1,9.2,148
81,Stephen Gostkowski,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.2,148
83,Hines Ward,PIT,WR,16,0,0,0,4,0,81,1043,7,0,0,0,0,9.2,146.7
84,Lance Briggs,CHI,OLB,16,0,0,0,0,0,0,0,0,0.5,3,1,2,9.2,146.6
85,Calvin Pace,NYJ,OLB,16,0,0,0,0,0,0,0,0,7,0,5,4,9.2,146.5
86,Chad Greenway,MIN,OLB,16,0,0,0,0,0,0,0,0,5.5,0,3,0,9.2,146.4
87,Gibril Wilson,LV,DB,16,0,0,0,0,0,0,0,0,1.5,2,1,3,9.1,146.3
87,Jonathan Stewart,CAR,RB,16,0,0,0,836,10,8,47,0,0,0,0,0,9.1,146.3
87,James Farrior,PIT,LB,16,0,0,0,0,0,0,0,0,3.5,0,1,1,9.1,146.3
90,Joey Porter,MIA,LB,16,0,0,0,0,0,0,0,0,17.5,0,4,1,9.1,146.1
91,David Akers,PHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.1,146
92,Kerry Collins,TEN,QB,16,2676,12,7,49,0,0,0,0,0,0,0,0,9.1,145.94
93,Thomas Davis Sr.,CAR,OLB,16,0,0,0,0,0,0,0,0,3.5,0,2,1,9.1,145.9
94,John Carney,NYG,K,15,0,0,0,0,0,0,0,0,0,0,0,0,9.7,145
94,Chicago Bears,CHI,DST,16,0,0,0,0,0,0,0,0,28,22,8,10,9.1,145
96,John Abraham,ATL,OLB,16,0,0,0,0,0,0,0,0,16.5,0,4,0,9,144.4
97,Dwayne Bowe,KC,WR,16,0,0,0,0,0,86,1022,7,0,0,0,0,9,144.2
98,Lamarr Woodley,PIT,OLB,15,0,0,0,0,0,0,0,0,11.5,1,2,4,9.6,144
99,Miami Dolphins,MIA,DST,16,0,0,0,0,0,0,0,0,40,18,17,12,8.9,142
99,Green Bay Packers,GB,DST,16,0,0,0,0,0,0,0,0,27,22,14,6,8.9,142
101,Santana Moss,WAS,WR,16,0,0,0,27,0,79,1044,6,0,0,0,0,8.8,141.1
102,Indianapolis Colts,IND,DST,16,0,0,0,0,0,0,0,0,30,15,22,11,8.8,141
103,Julius Peppers,CAR,DE,16,0,0,0,0,0,0,0,0,14.5,0,5,0,8.8,140.7
104,Kevin Walter,HOU,WR,16,0,0,0,23,0,60,899,8,0,0,0,0,8.8,140.2
105,Jamal Lewis,CLE,RB,16,0,0,0,1002,4,23,178,0,0,0,0,0,8.8,140
105,Dominic Rhodes,IND,RB,15,0,0,0,538,6,45,302,3,0,0,0,0,9.3,140
107,Bernard Berrian,MIN,WR,16,0,0,0,26,0,48,964,7,0,0,0,0,8.7,139
107,Minnesota Vikings,MIN,DST,16,0,0,0,0,0,0,0,0,45,12,22,13,8.7,139
109,Eddie Royal,DEN,WR,15,0,0,0,109,0,91,980,5,0,0,0,0,9.3,138.9
110,Yeremiah Bell,MIA,FS,16,0,0,0,0,0,0,0,0,1,0,3,1,8.6,138.3
111,New York Giants,NYG,DST,16,0,0,0,0,0,0,0,0,42,17,15,5,8.6,138
112,JaMarcus Russell,LV,QB,15,2423,13,8,127,1,0,0,0,0,0,0,0,9.2,137.62
113,Shaun Hill,SF,QB,9,2046,13,8,115,2,0,0,0,0,0,0,0,15.3,137.34
114,Wes Welker,NE,WR,16,0,0,0,26,0,111,1165,3,0,0,0,0,8.6,137.1
115,London Fletcher,WAS,ILB,16,0,0,0,0,0,0,0,0,0.5,0,1,1,8.5,136.5
116,Eric Weddle,LAC,FS,16,0,0,0,0,0,0,0,0,1,1,0,1,8.5,136.3
117,Kevin Faulk,NE,RB,15,-2,0,0,507,3,58,486,3,0,0,0,0,9,135.22
118,Chris Gamble,CAR,CB,16,0,0,0,0,0,0,0,0,0,3,1,2,8.4,135
118,Ryan Longwell,MIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.4,135
120,Kirk Morrison,LV,LB,16,0,0,0,0,0,0,0,0,1,1,2,0,8.4,134.1
121,Derrick Mason,BAL,WR,16,0,0,0,3,0,80,1037,5,0,0,0,0,8.4,134
122,Trent Cole,PHI,OLB,16,0,0,0,0,0,0,0,0,9,0,2,0,8.4,133.9
123,Charles Tillman,CHI,CB,15,0,0,0,0,0,0,0,0,0,3,4,0,8.9,133
123,Dallas Cowboys,DAL,DST,16,0,0,0,0,0,0,0,0,59,8,17,14,8.3,133
125,Mario Williams,HOU,DE,16,0,0,0,0,0,0,0,0,12,0,4,0,8.3,132.7
126,Oshiomogho Atogwe,LAR,DB,16,0,0,0,0,0,0,0,0,0,5,6,3,8.3,132.5
127,Donald Driver,GB,WR,16,0,0,0,4,0,74,1012,5,0,0,0,0,8.2,131.6
128,Matt Bryant,TB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.2,131
128,Mason Crosby,GB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.2,131
130,DeMeco Ryans,HOU,ILB,16,0,0,0,0,0,0,0,0,1,0,2,3,8.2,130.9
131,Paris Lenon,DET,ILB,16,0,0,0,0,0,0,0,0,1.5,0,2,2,8.1,130.1
132,John Kasay,CAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,130
133,Nate Kaeding,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,129
133,Rob Bironas,TEN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,129
133,Jason Elam,ATL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,129
136,Sammy Morris,NE,RB,13,0,0,0,727,7,17,161,0,0,0,0,0,9.9,128.8
137,Stewart Bradley,PHI,OLB,16,0,0,0,0,0,0,0,0,1,1,1,1,8,128.6
138,Jerod Mayo,NE,ILB,16,0,0,0,0,0,0,0,0,0,0,1,1,8,128
139,Laveranues Coles,NYJ,WR,16,0,0,0,9,0,70,850,7,0,0,0,0,8,127.9
140,Charles Woodson,GB,SS,16,0,0,0,0,0,0,0,0,3,7,1,1,8,127.4
141,Larry Johnson,KC,RB,12,4,1,0,874,5,12,74,0,0,0,0,0,10.6,126.96
142,Mewelde Moore,PIT,RB,16,0,0,0,588,5,40,320,1,0,0,0,0,7.9,126.8
143,Leon Washington,NYJ,RB,16,0,0,0,448,6,47,355,2,0,0,0,0,7.9,126.3
144,Robert Mathis,IND,OLB,15,0,0,0,0,0,0,0,0,11.5,0,5,3,8.4,126.1
145,Kris Brown,HOU,K,16,0,0,0,0,0,0,0,0,0,0,0,1,7.9,126
145,Rian Lindell,BUF,K,16,0,0,0,0,0,0,0,0,0,0,0,1,7.9,126
147,Eric Barton,NYJ,LB,16,0,0,0,0,0,0,0,0,1.5,0,1,1,7.8,125.4
148,Isaac Bruce,SF,WR,16,0,0,0,-3,0,61,835,7,0,0,0,0,7.8,125.2
149,Arizona Cardinals,ARI,DST,16,0,0,0,0,0,0,0,0,31,13,20,17,7.8,125
150,Marc Bulger,LAR,QB,15,2720,11,13,41,0,2,17,0,0,0,0,0,8.3,124.6
151,Channing Crowder,MIA,LB,15,0,0,0,0,0,0,0,0,0,0,1,1,8.3,124.5
152,Josh Brown,LAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,124
153,Julian Peterson,SEA,LB,16,0,0,0,0,0,0,0,0,5,0,4,1,7.7,123.7
154,Warrick Dunn,TB,RB,15,0,0,0,786,2,47,330,0,0,0,1,0,8.2,123.6
154,Tim Hightower,ARI,RB,16,0,0,0,399,10,34,237,0,0,0,0,0,7.7,123.6
156,Joe Nedney,SF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.7,123
156,Carolina Panthers,CAR,DST,16,0,0,0,0,0,0,0,0,37,12,17,13,7.7,123
158,Nick Collins,GB,FS,16,0,0,0,0,0,0,0,0,0,7,1,0,7.7,122.5
159,Ryan Fitzpatrick,CIN,QB,13,1905,8,9,304,2,1,-3,0,0,0,0,0,9.4,122.3
160,Matt Stover,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,122
160,Matt Prater,DEN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,122
162,Lee Evans,BUF,WR,16,0,0,0,22,0,63,1017,3,0,0,0,0,7.6,121.9
163,Brian Dawkins,PHI,SS,16,0,0,0,0,0,0,0,0,3,1,6,1,7.6,121.7
164,Pisa Tinoisamoa,LAR,LB,16,0,0,0,0,0,0,0,0,3,0,2,0,7.6,121.4
165,Neil Rackers,ARI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,121
166,Jason Witten,DAL,TE,16,42,0,0,0,0,81,952,4,0,0,0,0,7.6,120.88
167,Quentin Jammer,LAC,CB,16,0,0,0,0,0,0,0,0,0,2,3,2,7.5,120.5
168,Willis McGahee,BAL,RB,13,0,0,0,671,7,24,173,0,0,0,0,0,9.3,120.4
169,Muhsin Muhammad,CAR,WR,16,0,0,0,0,0,65,923,5,0,0,0,0,7.5,120.3
170,Paul Posluszny,BUF,ILB,16,0,0,0,0,0,0,0,0,0,1,1,1,7.5,119.5
171,Steve Breaston,ARI,WR,16,0,0,0,8,0,77,1006,3,0,0,0,0,7.5,119.4
172,Albert Haynesworth,TEN,DT,14,0,0,0,0,0,0,0,0,8.5,0,3,1,8.5,119.3
173,Jeff Reed,PIT,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.4,119
173,Robbie Gould,CHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.4,119
