Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Shaun Alexander,SEA,RB,16,0,0,0,1880,27,15,78,1,0,0,0,0,22.6,361.8
2,Larry Johnson,KC,RB,16,0,0,0,1750,20,33,343,1,0,0,0,0,20.5,327.3
3,LaDainian Tomlinson,LAC,RB,16,47,3,0,1462,18,51,370,2,0,0,0,0,19.7,315.08
4,Tiki Barber,NYG,RB,16,0,0,0,1860,9,54,530,2,0,0,0,0,19.1,305
5,Edgerrin James,IND,RB,15,0,0,0,1506,13,44,337,1,0,0,0,0,17.8,266.3
6,Carson Palmer,CIN,QB,16,3836,32,12,41,1,0,0,0,0,0,0,0,16.6,265.54
7,Tom Brady,NE,QB,16,4110,26,14,89,1,0,0,0,0,0,0,0,15.6,249.3
8,Peyton Manning,IND,QB,16,3747,28,10,45,0,0,0,0,0,0,0,0,15.1,242.38
9,Clinton Portis,WAS,RB,16,17,1,0,1516,11,30,216,0,0,0,0,0,15.1,241.88
10,Steve Smith,CAR,WR,16,0,0,0,25,1,103,1563,12,0,0,0,0,14.7,234.8
11,Matt Hasselbeck,SEA,QB,16,3459,24,9,124,1,0,0,0,0,0,0,0,14.4,230.76
12,Rudi Johnson,CIN,RB,16,0,0,0,1458,12,23,90,0,0,0,0,0,14.2,226.8
13,LaMont Jordan,LV,RB,14,0,0,0,1025,9,70,563,2,0,0,0,0,16.1,224.8
14,Eli Manning,NYG,QB,16,3762,24,17,80,1,0,0,0,0,0,0,0,14,224.48
15,Jake Plummer,DEN,QB,16,3366,18,7,151,2,0,0,0,0,0,0,0,13.6,217.74
16,Michael Vick,ATL,QB,15,2412,15,13,597,6,1,-14,0,0,0,0,0,14.5,216.78
17,Trent Green,KC,QB,16,4014,17,10,82,0,0,0,0,0,0,0,0,13.2,210.76
18,Drew Brees,LAC,QB,16,3576,24,15,49,1,0,0,0,0,0,0,0,13.1,209.94
19,Kerry Collins,LV,QB,15,3759,20,12,39,1,0,0,0,0,0,0,0,13.9,208.26
20,Drew Bledsoe,DAL,QB,16,3639,23,17,50,2,0,0,0,0,0,0,0,12.9,206.56
21,Larry Fitzgerald,ARI,WR,16,0,0,0,41,0,103,1409,10,0,0,0,0,12.8,205
22,Chicago Bears,CHI,DST,16,0,0,0,0,0,0,0,0,41,24,21,10,12.6,202
23,Chad Johnson,CIN,WR,16,0,0,0,33,0,97,1432,9,0,0,0,0,12.5,200.5
24,Santana Moss,WAS,WR,16,0,0,0,-3,0,84,1483,9,0,0,0,0,12.5,200
25,Jake Delhomme,CAR,QB,16,3421,24,16,31,1,0,0,0,0,0,0,0,12.4,197.94
26,Thomas Jones,CHI,RB,15,0,0,0,1335,9,26,143,0,0,0,0,0,13.2,197.8
27,M Anderson,DEN,TE,15,0,0,0,1014,12,18,212,1,0,0,0,0,13.1,196.6
28,Mark Brunell,WAS,QB,16,3050,23,10,111,0,0,0,0,0,0,0,0,12.2,195.1
29,Carolina Panthers,CAR,DST,16,0,0,0,0,0,0,0,0,45,23,19,19,11.9,191
30,Steven Jackson,LAR,RB,15,0,0,0,1046,8,43,320,2,0,0,0,1,12.7,190.6
31,Joey Galloway,TB,WR,16,0,0,0,4,0,83,1287,10,0,0,0,0,11.8,189.1
32,Anquan Boldin,ARI,WR,14,0,0,0,45,0,102,1402,7,0,0,0,0,13.3,186.7
33,Marvin Harrison,IND,WR,15,0,0,0,0,0,82,1146,12,0,0,0,0,12.4,186.6
34,Warrick Dunn,ATL,RB,16,0,0,0,1416,3,29,220,1,0,0,0,0,11.6,185.6
35,Torry Holt,LAR,WR,14,0,0,0,2,0,102,1331,9,0,0,0,0,13.2,185.3
36,Chris Chambers,MIA,WR,16,0,0,0,92,0,82,1118,11,0,0,0,0,11.4,183
37,Steve McNair,TEN,QB,14,3161,16,11,139,1,0,0,0,0,0,0,0,12.9,180.34
38,Jonathan Vilma,NYJ,OLB,16,0,0,0,0,0,0,0,0,0.5,1,4,1,11,175.7
39,Brett Favre,GB,QB,16,3881,20,29,62,0,0,0,0,0,0,0,0,10.8,173.44
40,Indianapolis Colts,IND,DST,16,0,0,0,0,0,0,0,0,46,18,27,13,10.8,173
41,Willie Parker,PIT,RB,15,0,0,0,1202,4,18,218,1,0,0,0,0,11.5,172
42,Willis McGahee,BUF,RB,16,0,0,0,1247,5,28,178,0,0,0,0,0,10.7,170.5
43,Reuben Droughns,CLE,RB,16,0,0,0,1232,2,39,369,0,0,0,0,0,10.6,170.1
43,Antonio Gates,LAC,TE,15,0,0,0,0,0,89,1101,10,0,0,0,0,11.3,170.1
45,Aaron Brooks,NO,QB,13,2882,13,17,281,2,0,0,0,0,0,0,0,13,169.38
46,Ben Roethlisberger,PIT,QB,12,2385,17,9,69,3,0,0,0,0,0,0,0,14,168.3
47,Corey Dillon,NE,RB,12,0,0,0,733,12,22,181,1,0,0,0,0,14,167.4
48,Brian Westbrook,PHI,RB,12,0,0,0,617,3,61,616,4,0,0,0,0,13.9,167.3
49,Domanick Davis,HOU,RB,11,0,0,0,976,2,39,337,4,0,0,0,0,15,165.3
50,Donnie Edwards,LAC,LB,16,0,0,0,0,0,0,0,0,3,2,2,0,10.3,164.5
51,Gus Frerotte,MIA,QB,16,2996,18,13,61,0,0,0,0,0,0,0,0,10.2,163.94
52,Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,47,15,21,15,10.2,163
53,Hines Ward,PIT,WR,15,0,0,0,10,0,69,975,11,0,0,0,0,10.8,162.5
54,New York Giants,NYG,DST,16,0,0,0,0,0,0,0,0,41,17,19,19,10.1,162
55,Plaxico Burress,NYG,WR,16,0,0,0,0,0,76,1214,7,0,0,0,0,10.1,161.4
56,T Glenn,DAL,WR,16,0,0,0,-4,1,62,1136,7,0,0,0,0,10.1,161.2
57,Zack Thomas,MIA,LB,14,0,0,0,0,0,0,0,0,2,1,4,1,11.5,161.1
58,David Carr,HOU,QB,16,2488,14,11,308,1,0,0,0,0,0,0,0,10,160.32
59,M Peterson,JAX,LB,16,0,0,0,0,0,0,0,0,6,3,2,1,10,159.9
60,London Fletcher,BUF,ILB,16,0,0,0,0,0,0,0,0,4,1,1,2,10,159.6
61,Seattle Seahawks,SEA,DST,16,0,0,0,0,0,0,0,0,50,16,17,11,9.9,158
62,Cadillac Williams,TB,RB,14,0,0,0,1178,6,20,81,0,0,0,0,0,11.3,157.9
63,Denver Broncos,DEN,DST,16,0,0,0,0,0,0,0,0,28,20,22,16,9.8,156
64,Keith Bulluck,TEN,LB,16,0,0,0,0,0,0,0,0,5,2,1,1,9.7,155.2
65,Chris Brown,TEN,RB,15,0,0,0,851,5,25,327,2,0,0,0,0,10.3,153.8
66,Donovan McNabb,PHI,QB,9,2507,16,9,55,1,0,0,0,0,0,0,0,17.1,153.78
67,Donald Driver,GB,WR,16,0,0,0,13,0,86,1221,5,0,0,0,0,9.6,153.4
68,Adalius Thomas,BAL,LB,16,0,0,0,0,0,0,0,0,9,2,4,3,9.5,152
69,Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,36,17,17,13,9.4,151
70,J Feely,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.4,150
71,Jacksonville Jaguars,JAX,DST,16,0,0,0,0,0,0,0,0,47,19,17,9,9.3,149
72,Randy Moss,LV,WR,16,0,0,0,0,0,60,1005,8,0,0,0,0,9.3,148.5
72,Tatum Bell,DEN,RB,15,0,0,0,921,8,18,104,0,0,0,0,0,9.9,148.5
74,Neil Rackers,ARI,K,15,0,0,0,0,0,0,0,0,0,0,0,0,9.9,148
75,TJ Houshmandzadeh,CIN,WR,14,0,0,0,62,1,78,956,7,0,0,0,0,10.6,147.8
76,Byron Leftwich,JAX,QB,11,2123,15,5,67,2,0,0,0,0,0,0,0,13.4,147.62
77,Julius Jones,DAL,RB,13,0,0,0,993,5,35,218,0,0,0,0,0,11.3,147.1
78,Keenan McCardell,LAC,WR,16,0,0,0,6,0,70,917,9,0,0,0,0,9.1,146.3
79,Adrian Wilson,ARI,SS,16,0,0,0,0,0,0,0,0,8,1,1,2,9,143.3
80,Rod Smith,DEN,WR,16,0,0,0,7,0,85,1105,6,0,0,0,0,9,143.2
81,Charles Tillman,CHI,CB,15,0,0,0,0,0,0,0,0,1,5,4,0,9.5,142.5
81,Eddie Kennison,KC,WR,16,0,0,0,43,0,68,1102,5,0,0,0,0,8.9,142.5
83,Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,42,11,19,15,8.9,142
84,DeShaun Foster,CAR,RB,15,0,0,0,879,2,34,372,1,0,0,0,0,9.4,141.1
85,Nick Barnett,GB,ILB,16,0,0,0,0,0,0,0,0,1,1,1,3,8.8,141
85,Miami Dolphins,MIA,DST,16,0,0,0,0,0,0,0,0,49,14,22,17,8.8,141
85,Minnesota Vikings,MIN,DST,16,0,0,0,0,0,0,0,0,34,24,12,11,8.8,141
88,Cyhl Quarles,TB,SS,16,0,0,0,0,0,0,0,0,1,0,4,1,8.8,140.4
89,Lance Briggs,CHI,OLB,16,0,0,0,0,0,0,0,0,2,2,3,2,8.8,140.2
90,Jimmy Smith,JAX,WR,16,0,0,0,0,0,70,1023,6,0,0,0,0,8.6,138.3
91,Mike Vrabel,NE,LB,16,0,0,0,0,0,3,4,3,4.5,2,1,0,8.5,136.6
91,Keith Brooking,ATL,LB,16,0,0,0,0,0,0,0,0,3.5,4,0,1,8.5,136.6
93,D Williams,ATL,LB,16,0,0,0,0,0,0,0,0,3,2,0,1,8.5,136.2
94,Washington Football Team,WAS,DST,16,0,0,0,0,0,0,0,0,35,16,20,12,8.5,136
95,Ronnie Brown,MIA,RB,15,0,0,0,907,4,32,232,1,0,0,0,0,9.1,135.9
96,Reggie Wayne,IND,WR,16,0,0,0,0,0,83,1055,5,0,0,0,0,8.5,135.5
97,Donte' Stallworth,NO,WR,16,0,0,0,2,0,70,945,7,0,0,0,0,8.4,134.7
98,Brian Urlacher,CHI,LB,16,0,0,0,0,0,0,0,0,6,0,1,0,8.4,134.4
99,Andra Davis,CLE,LB,16,0,0,0,0,0,0,0,0,2,1,0,0,8.4,134.2
99,Lofa Tatupu,SEA,LB,16,0,0,0,0,0,0,0,0,4,3,0,1,8.4,134.2
101,Cincinnati Bengals,CIN,DST,16,0,0,0,0,0,0,0,0,28,31,19,13,8.4,134
102,Jeremiah Trotter,PHI,LB,15,0,0,0,0,0,0,0,0,1,1,2,0,8.9,133.4
103,Ronde Barber,TB,FS,16,0,0,0,0,0,0,0,0,2,5,0,1,8.3,133.3
