Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Priest Holmes,KC,RB,14,0,0,0,1615,21,70,672,3,0,0,0,0,26.6,372.7
2,Ricky Williams,MIA,RB,16,0,0,0,1853,16,47,363,1,0,0,0,0,20,319.6
3,Rich Gannon,LV,RB,16,4689,26,10,156,3,0,0,0,0,0,0,0,19.3,309.16
4,LaDainian Tomlinson,LAC,RB,16,0,0,0,1683,14,79,489,1,0,0,0,0,19.2,307.2
5,Daunte Culpepper,MIN,QB,16,3853,18,23,609,10,0,0,0,0,0,0,0,18.4,295.02
6,Michael Vick,ATL,QB,15,2936,16,8,777,8,0,16,0,0,0,0,0,19.4,290.74
7,Clinton Portis,DEN,RB,16,0,0,0,1508,15,33,364,2,0,0,0,0,17.8,285.2
8,Shaun Alexander,SEA,RB,16,0,0,0,1175,16,59,460,2,0,0,0,0,17,271.5
9,Deuce McAllister,NO,RB,15,0,0,0,1388,13,47,352,3,0,0,0,0,18,270
10,Peyton Manning,IND,QB,16,4200,27,19,148,2,0,0,0,0,0,0,0,16.8,268.8
11,Tiki Barber,NYG,RB,16,0,0,0,1387,11,69,597,0,0,0,0,0,16.5,264.4
12,Aaron Brooks,NO,QB,16,3572,27,15,253,2,0,0,0,0,0,0,0,16.4,262.18
13,Drew Bledsoe,BUF,QB,16,4359,24,15,67,2,0,0,0,0,0,0,0,16.2,259.06
14,Travis Henry,BUF,RB,16,0,0,0,1438,13,43,309,1,0,0,0,0,16.2,258.7
15,Steve McNair,TEN,QB,16,3387,22,15,440,3,0,0,0,0,0,0,0,16.1,257.48
16,Charlie Garner,LV,RB,16,0,0,0,962,7,91,941,4,0,0,0,0,16,256.3
17,Trent Green,KC,QB,16,3690,26,13,225,1,0,0,0,0,0,0,0,16,256.1
18,Jeff Garcia,SF,QB,16,3344,21,10,353,3,0,0,0,0,0,0,0,15.9,255.06
19,Tom Brady,NE,QB,16,3764,28,14,110,1,0,0,0,0,0,0,0,15.8,253.56
20,Marvin Harrison,IND,WR,16,0,0,0,10,0,143,1722,11,0,0,0,0,15.1,241.2
21,Donovan McNabb,PHI,QB,10,2289,17,6,460,6,0,0,0,0,0,0,0,23.4,233.56
22,Eddie George,TEN,RB,16,0,0,0,1165,12,36,255,2,0,0,0,0,14.2,228
23,Brett Favre,GB,QB,16,3658,27,16,73,0,0,0,0,0,0,0,0,14.1,225.62
24,Fred Taylor,JAX,RB,16,0,0,0,1314,8,49,408,0,0,0,0,0,14,224.2
25,Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,43,31,18,7,14,224
